# favorite of tweet,# followers,# following,# of hastags,# of mentions,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,classification,compound score,Racist (Y/N),State Abbreviation,Valid City Data (Y/N)
0,1057,586,0,0,Fri Aug 06 16:01:12 +0000 2010,,Sunny Arizona,Clarissa Aguilar,104198,spade,black,forvrc,Sat Sep 23 04:59:05 +0000 2017,I lost my Kate spade months ago and I haven't bought one since ?,175433561,Hate speech,-0.3182,N,AZ,Y
0,92,435,0,0,Tue Nov 29 05:25:21 +0000 2016,,"Tennessee, USA",Isaac Keplar,887,spade,black,impulseaffects,Sat Sep 23 04:19:50 +0000 2017,This is a Def Leppard quote with a picture of Davis spade. What a huge insult to Kurt Cobian. https://t.co/DEGbQeYjWS,8.03E+17,Hate speech,-0.25,N,TN,Y
0,469,678,1,2,Sun Apr 25 17:30:23 +0000 2010,16051471,United States,On The Right,1611,spade,black,OnTheRight312,Sat Sep 23 03:55:54 +0000 2017,"@donlemon Twitter censored me for calling a #DonLemon spade a spade @Jack, seriously - grow the f up",137060102,Hate speech,-0.3182,Y,,N
4,4169,558,0,0,Thu Jun 28 22:28:36 +0000 2012,,"San Francisco, CA",danielle,42198,spade,black,lilgothpeach,Sat Sep 23 03:55:32 +0000 2017,isn't that david spade https://t.co/gg3dKRUo8x,621366226,Hate speech,0,N,CA,Y
28,2365,3470,0,0,Fri Feb 10 21:49:40 +0000 2017,,"Kentucky, USA",Dave Old Viet Vet,6735,spade,black,14countries,Sat Sep 23 03:32:48 +0000 2017,"I am sorry this came from a murdering Dictator, but he called a spade a spade. https://t.co/C17mcYYyRp",8.30E+17,Hate speech,-0.4215,N,KY,Y
0,195,584,0,1,Fri May 22 14:51:04 +0000 2009,168531961,"Houston, USA",TurnTXBlue,2745,spade,black,Call_Me_TX_Kate,Sat Sep 23 03:14:00 +0000 2017,"@NoahCRothman How about we decide to call a spade a spade...this isn't a ""culture war"" this is a Race War.",41825674,Hate speech,-0.1911,N,TX,Y
0,218,776,0,0,Thu Aug 07 17:27:07 +0000 2008,,"Houston, TX",Brad Rankin,6803,spade,black,Brad_HTown,Sat Sep 23 03:09:32 +0000 2017,Call a spade a spade,15766226,Hate speech,0,N,TX,Y
0,2025,1685,2,0,Wed Feb 23 19:06:30 +0000 2011,,"Philadelphia, PA",HilderbrandPelzerIII,22444,spade,black,HP3potential,Sat Sep 23 03:00:22 +0000 2017,The #charter vs #schooldistrict dispute will never be settled because there is greatness and weakness on both sides. Call a spade and spade.,256633461,Hate speech,-0.6705,N,PA,Y
1,238,900,0,0,Wed Nov 17 18:22:07 +0000 2010,,630/225/312,Alan Henry,5074,spade,black,milarsk11,Sat Sep 23 02:28:03 +0000 2017,You hurt the game by bankrupting your bullshit league. Im fairly neutral but gotta call a spade a spade https://t.co/dVZQrDgK5h,216784984,Hate speech,-0.5574,N,,N
47,142270,100962,0,0,Mon Mar 16 01:18:17 +0000 2009,,"Los Angeles, California",Skrizzy,111469,spade,black,youngscrap,Sat Sep 23 01:59:33 +0000 2017,I just realized I've never seen Kurt cocain and David spade in the same room. https://t.co/seELWmo61T,24623861,Hate speech,0,N,CA,Y
0,2620,4812,0,0,Mon May 18 19:26:30 +0000 2015,,"Minnesota, USA",Mary Frank,158725,spade,black,Fran_Neena20409,Sat Sep 23 01:45:35 +0000 2017,"Which is a LIE, here, I fixed it for You.
Name a spade a spade. https://t.co/iCUE6LIn6A",3219680120,Hate speech,0,N,MN,Y
1,1875,485,0,0,Mon Jul 18 19:16:28 +0000 2011,,"Detroit,MI",O'Hara,114751,spade,black,CHE_OHARA,Sat Sep 23 01:39:47 +0000 2017,Ppl just need to call a spade a spade,337898786,Hate speech,0,N,MI,Y
0,3,78,1,1,Fri Oct 22 12:41:43 +0000 2010,22657153,"Wisconsin, USA",Mary Auchampach,94,spade,black,maemaeandjakey,Sat Sep 23 01:10:19 +0000 2017,@DavidSpade Do people not know the glory of the all powerful David Spade??????? #davidspadefanforlife,206177027,Hate speech,-0.1506,N,WI,Y
3,1090,623,0,1,Thu Jun 25 03:46:37 +0000 2009,346133116,"Cleveland, OH",A.J.,138444,spade,black,TheSmithuation_,Sat Sep 23 00:28:43 +0000 2017,@D33J4Y_ That's David spade,50541270,Hate speech,0,N,OH,Y
0,1978,587,0,0,Thu Aug 04 08:49:07 +0000 2016,,"Los Angeles, CA",Fashion.Steamrack,8122,spade,black,rent_the_look,Sat Sep 23 00:02:03 +0000 2017,https://t.co/hDoYNVHRCM | kate spade new york accessories Violet Drive Kinslee Handbag https://t.co/1SEIlG0goi https://t.co/vN0Zv5oHy5,7.61E+17,Hate speech,0,N,CA,Y
0,89,868,4,0,Wed Jun 21 21:41:06 +0000 2017,,United States,Annie Pippins,892,spade,black,anniepippins617,Fri Sep 22 23:00:05 +0000 2017,New Kate Spade Hayden Pink #katespadehayden #katespade #kshayden #katespadehaydenpink https://t.co/LOjBshc37t https://t.co/yWjP1ExzMe,8.78E+17,Hate speech,0,N,,N
0,241,1161,4,0,Sun Jun 18 10:20:00 +0000 2017,,United States,Melanie Grant,917,spade,black,melaniegrant617,Fri Sep 22 22:58:28 +0000 2017,New Kate Spade Hayden Pink #katespadehayden #katespade #kshayden #katespadehaydenpink https://t.co/hjuSuZjlxe https://t.co/d72r2HtODq,8.76E+17,Hate speech,0,N,,N
2,5536,17,1,0,Tue Dec 25 20:08:08 +0000 2012,,"Rochester, New York",Amateur DIY,1264,spade,black,AmateurDIY,Fri Sep 22 22:27:01 +0000 2017,#DIY tip: Place a spade drill bit lightly on wood and get the drill going at full speed before applying pressure to the drill.,1035519986,Hate speech,-0.296,N,NY,Y
0,89,868,3,0,Wed Jun 21 21:41:06 +0000 2017,,United States,Annie Pippins,892,spade,black,anniepippins617,Fri Sep 22 22:08:24 +0000 2017,New Kate Spade Rachelle Astor Court Small Black #katespaderachelle #katespade #katespaderachell https://t.co/NZw7mWETlC,8.78E+17,Hate speech,0,N,,N
0,241,1161,4,0,Sun Jun 18 10:20:00 +0000 2017,,United States,Melanie Grant,917,spade,black,melaniegrant617,Fri Sep 22 21:29:08 +0000 2017,New Kate Spade Maise Black White #katespademaise #katespademaiseblack #katespademaise #ksmaise https://t.co/GAbTjhJsW6,8.76E+17,Hate speech,0,N,,N
1,241,1161,3,0,Sun Jun 18 10:20:00 +0000 2017,,United States,Melanie Grant,917,spade,black,melaniegrant617,Fri Sep 22 20:59:01 +0000 2017,New Kate Spade Rachelle Astor Court Small Black #katespaderachelle #katespade #katespaderachell https://t.co/7JIKqp6C8n,8.76E+17,Hate speech,0,N,,N
0,89,868,5,0,Wed Jun 21 21:41:06 +0000 2017,,United States,Annie Pippins,892,spade,black,anniepippins617,Fri Sep 22 20:56:12 +0000 2017,New KateSpade Stacy Large #katespadestacy #katespadestacypink #katespadestacywallet #katespadewallet #dompe https://t.co/8W4GbNumjE,8.78E+17,Hate speech,0,N,,N
0,376,568,0,1,Thu Mar 26 13:43:12 +0000 2009,25073877,"Hayward, CA",Cathy Voisard,1567,spade,black,ZPoet,Fri Sep 22 20:48:10 +0000 2017,"@realDonaldTrump You're delusional.  And let's call a spade a spade, CROOKED TRUMP!",26751243,Hate speech,0,N,CA,Y
0,71,105,0,0,Sat Jul 15 03:16:26 +0000 2017,,"Chicago, IL",Sham?,332,spade,black,shamthebaddest,Fri Sep 22 20:43:58 +0000 2017,A spade. ??,8.86E+17,Hate speech,0,N,IL,Y
620,337,238,0,0,Tue Jul 12 01:20:04 +0000 2016,,"Fort Lauderdale, FL",celine,11043,spade,black,ckord2017,Fri Sep 22 20:08:46 +0000 2017,Conspiracy: Kurt cobain is actually alive but under another identity known as David spade https://t.co/DLcBCiX8kF,7.53E+17,Hate speech,-0.1027,N,FL,Y
0,133,145,3,0,Wed Jan 15 10:40:02 +0000 2014,,"Toronto, Ontario",DjUndaCover,2258,spade,black,DjUndaCover,Fri Sep 22 20:01:36 +0000 2017,#SalsaDancing returns to spade_lounge real soon. #StayTuned #SalsaAtSpade vive.laparis https://t.co/k3zHATG4lA,2283518489,Hate speech,0,N,,CANADA
0,339,87,3,0,Sat Apr 07 19:38:30 +0000 2012,,"Daytona Beach, FL",Plato's Closet DB,612,spade,black,platosdaytona,Fri Sep 22 19:48:20 +0000 2017,Kate Spade electric blue priced at $25! #platosclosetdaytonabeach #platoscloset #katespade https://t.co/q67h1JF9Mo,547940118,Hate speech,0,N,FL,Y
2,585,524,0,2,Sat Apr 12 22:41:04 +0000 2008,121505689,northern va / dc,Chip Cullen,6813,spade,black,chipcullen,Fri Sep 22 19:34:22 +0000 2017,@cassbakes @round i was thinking david spade too,14371413,Hate speech,0,N,DC,Y
0,472,1540,0,0,Sun May 31 21:39:27 +0000 2015,,"DeKalb, IL",CockyBeast,12785,spade,black,eyemtrash,Fri Sep 22 19:31:58 +0000 2017,Yall bitches be the first to say DONT BE TRYNA COME AT HER CUZ SHE GAINED WEIGHT Kanye fat asl but call a spade https://t.co/oQsfb8Y5nS,3231987014,Hate speech,-0.073,N,IL,Y
0,65,331,0,2,Fri Nov 08 15:40:29 +0000 2013,18380182,"Winnipeg, Manitoba",Lindsay Stewart,117,spade,black,lindsaystews,Fri Sep 22 19:27:36 +0000 2017,@dorseyshaw @BenBrisebois But did David spade also say it?,2182438334,Hate speech,0,N,,N
1,623,892,0,1,Thu Aug 27 15:03:51 +0000 2015,346133116,"Titusville, PA",Just The Sports Guy,17098,spade,black,gTubbyschmidt,Fri Sep 22 19:24:33 +0000 2017,@D33J4Y_ The point is that is not curt cobain in the pic it's David spade,3458733321,Hate speech,0,N,PA,Y
1,371,227,0,0,Tue May 24 05:31:13 +0000 2016,,"Fort Lauderdale, FL",colemanxtragedy,28826,spade,black,shuhkwahn,Fri Sep 22 18:44:56 +0000 2017,you pussies can't call a spade a spade and that's where the problems lie,7.35E+17,Hate speech,-0.4019,N,FL,Y
0,89,868,3,0,Wed Jun 21 21:41:06 +0000 2017,,United States,Annie Pippins,892,spade,black,anniepippins617,Fri Sep 22 18:25:14 +0000 2017,New Kate Spade Rachelle Astor Court Small Bone #katespaderachelle #katespade #katespaderachelle https://t.co/LK7xe9O7Fh,8.78E+17,Hate speech,0,N,,N
0,1966,1685,0,2,Fri Jun 03 10:52:27 +0000 2016,4739845481,"California, USA",john booker,40497,spade,black,johnone2345,Fri Sep 22 17:51:04 +0000 2017,@Trump45Michael @kwilli1046 At some point we need to call a spade a spade https://t.co/WboOqZVh12,7.39E+17,Hate speech,0,N,CA,Y
1,1842,647,0,1,Fri Sep 03 04:50:27 +0000 2010,186333296,Through the Looking Glass,TC Ivy,112202,spade,black,BienSur_JeTaime,Fri Sep 22 17:43:13 +0000 2017,@CRWNDKING_Brand And that's just me calling a spade a spade.,186333296,Hate speech,0,N,,N
1,1842,647,0,1,Fri Sep 03 04:50:27 +0000 2010,186333296,Through the Looking Glass,TC Ivy,112202,spade,black,BienSur_JeTaime,Fri Sep 22 17:39:14 +0000 2017,"@CRWNDKING_Brand And I don't say that to upset you, but a spade shouldn't only be called a spade when the argument https://t.co/GQNEACrpWk",186333296,Hate speech,-0.2023,N,,N
0,137,763,0,1,Fri Jun 02 05:48:18 +0000 2017,,"Portland, Or USA",Jenny ayres,240,spade,black,Jennyayres3,Fri Sep 22 17:33:56 +0000 2017,"Why mince words, when you can call a spade a ""phony little creep"" @life saving surgery for children w/pre-existing https://t.co/Fswp2nCrfz",8.71E+17,Hate speech,0,N,OR,Y
1,185,242,0,3,Tue Dec 27 23:03:13 +0000 2011,2850316426, Toronto,Jaylon,3825,spade,black,beago213,Fri Sep 22 16:52:11 +0000 2017,@fr3nchrayne @cocainespirit @iiiNrt call a spade a spade blk women evil n blk men wicket just own up 2 ur shit n st https://t.co/es5hV8Uul4,448375819,Hate speech,-0.8402,N,,CANADA
0,2691,519,0,1,Fri May 15 02:38:48 +0000 2009,24872724,"Toronto, Ontario",josh,50471,spade,black,HoopPlusTheHarm,Fri Sep 22 16:43:09 +0000 2017,@SoloExMachina thats david spade,40156145,Hate speech,0,N,,CANADA
0,241,1161,3,0,Sun Jun 18 10:20:00 +0000 2017,,United States,Melanie Grant,917,spade,black,melaniegrant617,Fri Sep 22 16:41:09 +0000 2017,New Kate Spade Hilo Backpack Black #katespadebackpack #katespadehilo #katespadehilobackpack https://t.co/5NYKBPxx2s https://t.co/MW61iA0kWf,8.76E+17,Hate speech,0,N,,N
1,751,581,0,0,Wed Feb 16 01:46:32 +0000 2011,,601/504,Maci,48794,spade,black,iMac__,Fri Sep 22 16:29:12 +0000 2017,Tendencies?? ?? call a spade a spade https://t.co/a3x9yWbxs4,252853856,Hate speech,0,N,,N
1,5,140,0,1,Sat Jul 15 16:03:30 +0000 2017,8965932,United States ,MAC42,18,spade,black,Mactastic42,Fri Sep 22 16:19:13 +0000 2017,@FlyingDog Is that David spade,8.86E+17,Hate speech,0,N,,N
0,168,9,3,0,Mon Feb 11 20:38:43 +0000 2013,,Connecticut / CT,Connecticut Jobs,108,spade,black,CTJobConnecter,Fri Sep 22 16:19:12 +0000 2017,#ConnecticutJobs #CTjobs #jobs sales associate - kate spade new york - Kate Spade &amp; Company - Clinton.. see? https://t.co/hpOqDkeZPE,1169978114,Hate speech,0,N,,N
0,292,394,0,2,Mon Mar 12 02:33:59 +0000 2012,521885029,"Pittsburgh, PA",Peep,5524,spade,black,PeepsBurgh,Fri Sep 22 16:16:08 +0000 2017,"@SeeyaLeah @nickrumbaugh But yeah, the PSL stunk. Gotta call a spade a spade.",521885029,Hate speech,-0.1027,N,PA,Y
1,609,608,0,1,Fri Nov 02 22:25:04 +0000 2012,2912163994,"Cortland, OH",Mackenzie Evan,17705,spade,black,MackenzieEvan,Fri Sep 22 16:15:25 +0000 2017,@delaney_spade Bad idea ??,921915541,Hate speech,-0.5423,N,OH,Y
0,820,1369,0,1,Wed Apr 29 21:59:43 +0000 2009,,United States,??Eagle Vision?,14203,spade,black,GiantEagleOne,Fri Sep 22 16:11:42 +0000 2017,?Tucker calls a spade a spade?@RepMaxineWaters suffers from dementia ?A corrupt politician that should be removed. https://t.co/VxcBtNglMP,36495737,Hate speech,-0.4767,N,,N
0,14,254,0,1,Wed Nov 30 18:12:41 +0000 2016,15976697,"New York, New York",MPG,2828,spade,black,Trice0610,Fri Sep 22 15:59:12 +0000 2017,"@michellemalkin Let's just call a spade a spade, shall We? She is an ASS! If she prefers little Kim's leadership so https://t.co/1ElVQx9hsV",8.04E+17,Hate speech,-0.6731,N,NY,Y
