,American Indian Female Population,American Indian Male Population,American Indian Population,Asian Female Population,Asian Male Population,Asian Population,Black Female Population,Black Male Population,Black Population,Female Population,Hawaiian Native Female Population,Hawaiian Native Male Population,Hawaiian Native Population,Hispanic Population,Hispanice Female Population,Hispanice Male Population,Male Population,Not a US Citizen,Total Population,US Citizen by American Parents (Born Abroad),US Citizen by Birth,US Citizen by Naturalization,White Female Population,White Male Population,White Population
Ohio,8059,10022,18081,117018,117018,239025,751494,692016,1443510,5922773,0,0,0,420081,207657,212424,5691600,243278,11614373,54839,11006258,270314,4655770,4655770,9476221
Oklahoma,152623,145325,297948,36102,36102,79246,146421,140952,287373,1980288,0,0,0,403936,191850,212086,1943273,150657,3923561,30983,3660511,77757,1406212,1406212,2841467
Oregon,20531,24895,45426,77467,77467,169459,36827,42748,79575,2067427,7119,7704,14823,522568,252878,269690,2026038,219295,4093465,40009,3654431,174922,1705752,1705752,3455810
Pennsylvania,10587,12969,23556,202208,202208,423180,726426,680621,1407047,6521357,0,0,0,900002,439566,460436,6262870,416183,12784227,79610,11682392,454730,5071236,5071236,10340877
Rhode Island,0,0,0,17099,17099,36875,32699,34827,67526,545068,0,0,0,157352,79983,77369,511358,66770,1056426,8917,884767,81710,408384,408384,850105
South Carolina,7770,8240,16010,33704,33704,76870,711982,625662,1337644,2555776,0,0,0,272791,129712,143079,2405343,143205,4961119,40013,4672048,94759,1641059,1641059,3342552
South Dakota,39355,38023,77378,6244,6244,12953,6412,8112,14524,429786,0,0,0,32227,15641,16586,435668,19944,865454,5568,827926,10982,368736,368736,732939
Tennessee,9257,9796,19053,51380,51380,116375,585530,528904,1114434,3404136,0,0,0,347442,162423,185019,3247058,202097,6651194,42081,6279438,117924,2542295,2542295,5177478
Texas,65316,69959,135275,630427,630427,1300300,1744276,1618007,3362283,14031643,14890,10338,25228,10883279,5408556,5474723,13830953,2981306,27862596,318990,22715541,1748614,10304549,10304549,20702709
Utah,15850,15852,31702,34464,34464,70150,14395,18405,32800,1513072,13458,16005,29463,420440,204772,215668,1538145,158751,3051217,26502,2767513,93582,1322908,1322908,2633283
Vermont,0,0,0,3816,3816,9406,0,0,0,316720,0,0,0,12546,6829,5717,307874,11859,624594,5301,590208,16364,290228,290228,589379
Virginia,12372,10784,23156,249966,249966,532320,835022,766846,1601868,4276323,0,0,0,760611,369704,390907,4135485,500545,8411808,130644,7210965,530624,2821717,2821717,5707035
Washington,46902,47735,94637,274515,274515,597215,124576,142401,266977,3648274,25368,22814,48182,906451,437169,469282,3639726,538259,7288000,102988,6139221,482135,2757081,2757081,5516602
West Virginia,0,0,0,5640,5640,14133,33023,36698,69721,930189,0,0,0,26783,13591,13192,900913,16704,1831102,7847,1789630,15066,837370,837370,1704195
Wisconsin,25542,27066,52608,74307,74307,155252,187286,174367,361653,2905788,0,0,0,387015,186006,201009,2872921,157189,5778709,31808,5437389,131355,2460862,2460862,4941688
Wyoming,6524,6670,13194,0,0,0,0,0,0,287296,0,0,0,56264,26931,29333,298205,11460,585501,3368,562483,7396,273901,273901,538819
