City Name,County,Latitude,Longitude,State,State Abbreviation,Zip Code,new_lat,new_lng
Plum,Fayette,29.9349,-96.9675,Texas,TX,78952,29.9349464,-96.9674826
Alamo,Hidalgo,26.1906,-98.1164,Texas,TX,78516,26.1836854,-98.1230638
Clinton,Van Buren,35.6045,-92.4758,Arkansas,AR,72031,35.5914665,-92.4604361
Springfield,Hampshire,39.463,-78.695,West Virginia,WV,26763,39.450329,-78.6941834
Carpenter,Clark,44.6648,-97.9168,South Dakota,SD,57322,44.6381052,-97.9158807
Bronx,Bronx,40.9011,-73.9053,New York,NY,10471,40.8447819,-73.8648268
Mendota,Washington,36.7223,-82.2649,Virginia,VA,24270,36.7109367,-82.30152989999999
Crane,Harney,43.4262,-118.4642,Oregon,OR,97732,43.4166527,-118.5786837
Saint Robert,Pulaski,37.8283,-92.131,Missouri,MO,65584,37.8280961,-92.17766639999999
Burtonsville,Montgomery,39.0922,-76.9339,Maryland,MD,20866,39.11121929999999,-76.9324752
Rolfe,Pocahontas,42.8082,-94.5166,Iowa,IA,50581,42.8127501,-94.5269204
Junction City,Perry,39.6965,-82.3155,Ohio,OH,43748,39.7211793,-82.2987615
Newburgh,Warrick,38.0624,-87.2452,Indiana,IN,47629,37.9444882,-87.4052865
Mauriceville,Orange,30.204,-93.8866,Texas,TX,77626,30.2035419,-93.86628189999999
Wetumpka,Elmore,32.5927,-86.2153,Alabama,AL,36092,32.5437448,-86.2119127
Bethesda,Montgomery,38.9806,-77.1008,Maryland,MD,20811,38.984652,-77.0947092
Evans,Columbia,33.5412,-82.1398,Georgia,GA,30809,33.5337464,-82.1306747
Hillsdale,Laramie,41.2136,-104.4933,Wyoming,WY,82060,41.2115335,-104.4784222
Liberty,Randolph,35.8729,-79.5821,North Carolina,NC,27298,35.8534705,-79.5716903
Lacombe,St. Tammany,30.322,-89.9297,Louisiana,LA,70445,30.3135288,-89.9431264
Beaver,Floyd,37.3774,-82.6869,Kentucky,KY,41604,37.397193,-82.6548227
Copiague,Suffolk,40.6778,-73.3963,New York,NY,11726,40.6814892,-73.3998445
North Loup,Valley,41.4972,-98.7858,Nebraska,NE,68859,41.4952891,-98.77313699999999
Dallas,Dallas,32.8147,-96.7877,Texas,TX,75221,32.7766642,-96.79698789999999
Harpswell,Cumberland,43.7811,-69.9955,Maine,ME,04079,43.7864342,-69.9598343
Scottville,Ashe,36.4833,-81.3276,North Carolina,NC,28672,36.4804045,-81.3075956
Indio,Riverside,33.7532,-116.2676,California,CA,92203,33.7205771,-116.2155619
Canyon Country,Los Angeles,34.4262,-118.449,California,CA,91351,34.4235425,-118.4720633
Severy,Greenwood,37.617,-96.2252,Kansas,KS,67137,37.6222547,-96.22805269999999
Wixom,Oakland,42.534,-83.5285,Michigan,MI,48393,42.5247555,-83.5363268
Shoals,Wayne,38.3432,-82.4905,West Virginia,WV,25562,38.327028,-82.47515469999999
Penfield,Clearfield,41.2085,-78.5791,Pennsylvania,PA,15849,41.2083932,-78.5755791
Leander,Williamson,30.5788,-97.8531,Texas,TX,78646,30.5788055,-97.8530686
Del Rio,Cocke,35.883,-83.015,Tennessee,TN,37727,35.9206692,-83.0243425
Tyngsboro,Middlesex,42.6724,-71.4158,Massachusetts,MA,01879,42.6766696,-71.4244224
Grassy Meadows,Greenbrier,37.8268,-80.7209,West Virginia,WV,24943,37.82678569999999,-80.72091809999999
Foster,Bates,38.1661,-94.5075,Missouri,MO,64745,38.166139,-94.50745339999999
Titusville,Brevard,28.6122,-80.8076,Florida,FL,32783,28.6122187,-80.8075537
Welch,Dawson,32.9298,-102.1278,Texas,TX,79377,32.9290627,-102.1266161
Ilwaco,Pacific,46.3142,-124.0282,Washington,WA,98624,46.3089891,-124.0432099
Morrison,Noble,36.2902,-97.0228,Oklahoma,OK,73061,36.2972705,-97.00809339999999
Largo,Pinellas,27.8802,-82.7534,Florida,FL,33773,27.9094665,-82.7873244
