,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,screen name,term,time,tweet,user id
1813,0,178,150,0,"[{'screen_name': 'JMND10i', 'name': 'JM', 'id': 764151437651763200, 'id_str': '764151437651763200', 'indices': [0, 8]}]",0,Wed Aug 16 00:16:47 +0000 2017,7.641514376517632e+17,,Saitama,3780,ALftbI,jigaboo,Fri Sep 15 01:10:13 +0000 2017,@JMND10i another irrelevant jigaboo,897613071635677184
1814,0,167,283,0,"[{'screen_name': 'SheriffClarke', 'name': 'David A. Clarke, Jr.', 'id': 118845216, 'id_str': '118845216', 'indices': [3, 17]}]",9151,Sun Jul 02 17:51:58 +0000 2017,,United States,Layne,2979,densla1,jigaboo,Fri Sep 15 00:16:36 +0000 2017,"RT @SheriffClarke: I am tired of this jigaboo telling black people who they should be, what they should do. He's a lackey for Democrats htt…",881571162970574849
1815,0,1472,884,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Sun Jun 14 04:06:17 +0000 2009,,,Chip Skylark,51715,The_GOAT56,jigaboo,Thu Sep 14 23:54:27 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,47029506
1816,0,282,92,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Sat Jul 11 05:32:48 +0000 2015,,"Indianapolis, IN",xanburger,6307,niggaspeare,jigaboo,Thu Sep 14 22:41:37 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,3275207730
1817,1,7,72,0,"[{'screen_name': 'LagBeachAntifa4', 'name': 'Laguna Beach Antifa', 'id': 900504494835879936, 'id_str': '900504494835879936', 'indices': [0, 16]}, {'screen_name': 'BevHillsAntifa', 'name': 'Beverly Hills Antifa', 'id': 847356759270277125, 'id_str': '847356759270277125', 'indices': [17, 32]}]",0,Sat Jun 17 03:21:53 +0000 2017,9.0050449483588e+17,"California, USA",Steve Constance,226,morepoorefugees,jigaboo,Thu Sep 14 21:40:59 +0000 2017,@LagBeachAntifa4 @BevHillsAntifa Poor little jigaboo feelings hurt? Waaaa! Now go pick your cotton. Boy.,875916378284228609
1818,0,611,78,0,"[{'screen_name': 'xxrins', 'name': ';/', 'id': 794046244909940736, 'id_str': '794046244909940736', 'indices': [0, 7]}]",0,Sat Oct 01 22:14:23 +0000 2016,7.940462449099407e+17,9.14.17,桜Jamsy,632,pinktreejamsy,jigaboo,Thu Sep 14 21:27:56 +0000 2017,@xxrins You're literally on private you fucking useless jigaboo,782342925279571968
1819,0,1107,1013,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Mon May 18 00:35:53 +0000 2009,,,Little Flower 🌺,17078,2_Wildflowers,jigaboo,Thu Sep 14 20:55:43 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,40772171
1820,0,1776,4823,0,"[{'screen_name': 'TRobinsonNewEra', 'name': 'Tommy Robinson 🇬🇧', 'id': 374712154, 'id_str': '374712154', 'indices': [0, 16]}, {'screen_name': 'drsunilbanerjee', 'name': 'SKB', 'id': 1638435462, 'id_str': '1638435462', 'indices': [17, 33]}, {'screen_name': 'antonioguterres', 'name': 'António Guterres', 'id': 811229675758505984, 'id_str': '811229675758505984', 'indices': [59, 75]}]",0,Wed Oct 02 19:28:23 +0000 2013,374712154.0,International,Africa,53532,AfricaData,jigaboo,Thu Sep 14 19:45:08 +0000 2017,@TRobinsonNewEra @drsunilbanerjee Now that fcuking jigaboo @antonioguterres is ranting on as if Rohingya terrorist… https://t.co/1xxPW5YP2h,1927964653
1821,0,520,561,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Sun Nov 27 08:08:36 +0000 2011,,you gon' need a bigger ladder,dee.,23990,LavishlifeofDJ,jigaboo,Thu Sep 14 19:30:29 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,422444583
1822,1,1,16,0,[],0,Thu Sep 14 14:06:08 +0000 2017,,,x,1,cheesyboizayy,jigaboo,Thu Sep 14 18:56:24 +0000 2017,jigaboo jigaboo where are you,908331032465854465
