Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,classification,compound score
5014,0.0,2893.0,1212.0,0.0,0.0,0.0,Thu Mar 07 03:05:05 +0000 2013,,"Simpsonville, SC",Morgannn🖤,35428.0,spade,black,Morgan_Youngg,Wed Sep 20 14:55:47 +0000 2017,This is so spade omg https://t.co/EzEHmlk3mW,1247769198.0,Hate speech,0.0
5015,0.0,241.0,1161.0,5.0,0.0,0.0,Sun Jun 18 10:20:00 +0000 2017,,United States,Melanie Grant,917.0,spade,black,melaniegrant617,Wed Sep 20 14:47:43 +0000 2017,New KateSpade Stacy Large #katespadestacy #katespadestacypink #katespadestacywallet #katespadewallet #dompe… https://t.co/mnNybXs49S,8.763839896652104e+17,Hate speech,0.0
5016,0.0,23.0,120.0,0.0,1.0,0.0,Thu Oct 21 15:13:21 +0000 2010,28390516.0,Illinois. ,Karen Blade,339.0,spade,black,graniquilter,Wed Sep 20 14:46:06 +0000 2017,@KMOV Calling a spade a spade.,205763714.0,Hate speech,0.0
5017,1.0,18.0,175.0,0.0,2.0,0.0,Sat Nov 19 05:00:38 +0000 2016,731309970.0,"Ohio, USA","Nathan, of Astora",3190.0,spade,black,LetsConsider,Wed Sep 20 14:43:42 +0000 2017,"@Grand_DM @DialMforMara Shovel knight now has a shovel ranger. We just need a shovel cleric, and a spade-specializing rogue 🤣",7.998397799029432e+17,Hate speech,0.0
5021,2.0,146.0,1848.0,1.0,1.0,0.0,Sat Aug 06 01:03:30 +0000 2011,13850422.0,"Washington, DC ",Sandy,884.0,spade,black,argyleminx,Wed Sep 20 14:07:28 +0000 2017,"@CNNPolitics Didn't see a whole lot of ""emergence"" during that horrifying #UNGA speech. Feel free to call a spade a spade.",349384270.0,Hate speech,-0.1027
5022,1.0,23.0,104.0,0.0,1.0,0.0,Sun Jun 14 23:46:38 +0000 2009,268917723.0,"Lafayette, LA",StellaJ,684.0,spade,black,saints618,Wed Sep 20 14:03:46 +0000 2017,@RealKDPFan4Eva Just their failed attempts to be balanced. Sometimes you have to call a spade a spade...,47206779.0,Hate speech,-0.5106
5023,0.0,421.0,676.0,0.0,2.0,0.0,Tue Jan 24 19:26:56 +0000 2012,,Carmel,Mike Botkin,3226.0,spade,black,botkin_mike,Wed Sep 20 13:41:38 +0000 2017,"Saw this last nite &amp; I have2say, @jimmykimmel called a spade a spade. (Hint: the spade is @BillCassidy) Liar. Call(… https://t.co/dDEHZfdCOi",473228831.0,Hate speech,-0.5106
5024,1.0,797.0,364.0,0.0,0.0,0.0,Sat Apr 16 08:11:54 +0000 2011,,"Los Angeles, Ca",Sara Azari,1074.0,spade,black,azarilaw,Wed Sep 20 13:29:25 +0000 2017,Call a spade a spade? https://t.co/h9sllUYOlZ,282950375.0,Hate speech,0.0
5025,2.0,407.0,304.0,0.0,0.0,0.0,Sat Jul 04 17:37:48 +0000 2015,,"Ontario, CA",hewwo?????,1852.0,spade,black,ehlihr,Wed Sep 20 13:21:47 +0000 2017,"everytime sam spade interacts with a woman i write ""GROSS"" in all caps in my book bc it always is.",3358971327.0,Hate speech,0.0
5027,4.0,262.0,343.0,0.0,2.0,0.0,Thu Mar 05 14:18:11 +0000 2009,1917731.0,"Las Vegas, NV",Sue Brinton,5517.0,spade,black,Eyemsue,Wed Sep 20 13:16:11 +0000 2017,"@thehill I think @jimmykimmel understands all too well, called a spade a spade ♠️ and a liar a liar 🤥",22923007.0,Hate speech,-0.6705
5030,1.0,8235.0,696.0,0.0,3.0,0.0,Tue Mar 31 02:25:18 +0000 2009,,"Dallas, TX",Merritt Beck,24080.0,spade,black,merrittbeck,Wed Sep 20 13:00:54 +0000 2017,"NEW NEUTRALS, featuring @gucci @katespadeny @Frame_Denim and more https://t.co/TMtUMzBZwf https://t.co/cfo3qzC0J7",27792069.0,Hate speech,0.0
5031,0.0,94.0,37.0,0.0,2.0,0.0,Fri Aug 12 11:12:35 +0000 2016,7.640569839264031e+17,"Chicago, IL USA",Blunty,4979.0,spade,black,nowtanky,Wed Sep 20 12:58:45 +0000 2017,@Nitu_23 @ShankhNaad My biggest problem with Bollywood is they refrain from calling a spade a spade unless the spad… https://t.co/Rjh3bdFhhP,7.640569839264031e+17,Hate speech,-0.4019
5032,0.0,4502.0,3205.0,0.0,2.0,0.0,Tue Jul 05 09:31:19 +0000 2011,8.222156797261005e+17,Israel,Michael Lawrence,24447.0,spade,black,IsraelSpeaker,Wed Sep 20 12:43:23 +0000 2017,"@POTUS called a spade a spade. Called @UN to account, demanded reforms. Called out Venezuela, Iran, N Korea for abu… https://t.co/TyKHmXtBmf",329580332.0,Hate speech,-0.2263
5034,0.0,25.0,24.0,4.0,0.0,0.0,Sun Jun 04 15:54:19 +0000 2017,,"Texas, USA",Maria Clausing,573.0,spade,black,mariaclausing,Wed Sep 20 12:35:20 +0000 2017,New • Kate Spade Adrien Large • 3tone Green  #katespadeadrien #katespadeadrienlarge #ksadrien #ksadrienlarge… https://t.co/lvs2VTwqI1,8.713946943112315e+17,Hate speech,0.0
5035,0.0,275.0,207.0,0.0,2.0,0.0,Fri Jun 24 17:15:56 +0000 2011,22799750.0,Maine,Jacqueline Zavala,51362.0,spade,black,sweetnfreee43,Wed Sep 20 12:34:12 +0000 2017,"@ChrisCuomo @chad_marketing It seems that journalist are reluctant to call a spade a spade, lies are lies, you keep indulging them ..smh",323337476.0,Hate speech,-0.765
5036,0.0,275.0,635.0,0.0,0.0,0.0,Wed Jan 21 07:24:01 +0000 2015,,"Beverly Hills, CA",FashionRelated,16343.0,spade,black,BeeDotTV,Wed Sep 20 11:30:55 +0000 2017,New post (kate spade new york Cameron Street Stacy Wallet) has been published on Fashion Related | 2017 ... -… https://t.co/Oi042k5jD0,2989170395.0,Hate speech,0.0
5040,6.0,83559.0,757.0,1.0,1.0,2.0,Sun Jan 25 07:15:29 +0000 2009,,NYC,Fashion Gone Rogue,37996.0,spade,black,fashgonerogue,Wed Sep 20 09:15:48 +0000 2017,Pop of Color: Discover #KateSpade's Ads Through the Years @katespadeny https://t.co/U4qdg9I1Ll https://t.co/GpbdMm5tt6,19480822.0,Hate speech,0.0
5041,0.0,13036.0,13133.0,0.0,0.0,0.0,Wed May 28 12:44:46 +0000 2014,,Canada & USA,Anthony Saldanha,167207.0,spade,black,AnthonySald,Wed Sep 20 09:08:00 +0000 2017,Indians by nature find it impossible to call spade a spade Love to exaggerate Small fire yet scream fire that 4 fir… https://t.co/JyqPt3VqhW,2529955993.0,Hate speech,-0.4404
