,Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,Sentiment Score,Postive Score,Negative Score,Neutral Score,Positive Score
1003,1127,0.0,1639.0,2456.0,0.0,2.0,0.0,Tue Jun 23 20:37:16 +0000 2009,8.10698204375294e+17,Los Angeles,Richard Thorpe,11550.0,i hate black,black,rjthorpe,Sun Sep 24 16:14:52 +0000 2017,@GenRickDeMarco @WOGMovement25 Name a black hate group. lol I'm a person that see an entire picture,50094282.0,-0.2263,,0.2,0.649,0.151
1004,1128,1.0,168.0,187.0,0.0,0.0,1.0,Sat Jul 27 01:07:22 +0000 2013,,"Houston, TX",awi🌺,3651.0,i hate black,black,arianna_baio,Sun Sep 24 16:14:49 +0000 2017,"Y'all hate country music but like Kodak black and other shitty rappers? Last time I checked country MUSIC actually has instruments, not rap.",1624250138.0,-0.6124,,0.246,0.644,0.11
1005,1129,1.0,1525.0,1133.0,0.0,1.0,0.0,Thu Aug 14 04:08:09 +0000 2014,178428397.0,Texas,Sheila Taylor Clark,21445.0,i hate black,black,SoShaydee,Sun Sep 24 16:14:07 +0000 2017,"@MsPrecision21 I hate that response. Rather hear silence then ""I just wanna play football"".  If ur Black &amp; that's y… https://t.co/cEtny7xSCT",2730862776.0,-0.3182,,0.154,0.747,0.1
1006,1130,0.0,1995.0,619.0,0.0,3.0,0.0,Sun Sep 19 03:56:10 +0000 2010,467083430.0,United States,Mugatu,16936.0,i hate black,black,Artanis71,Sun Sep 24 16:06:29 +0000 2017,"@BevCross1 @ShaunKing @NFL Yeah right I mean what reason would they have to protest, you really are a hate filled s… https://t.co/Ey6JQfJqyw",192435053.0,-0.5829,,0.237,0.675,0.087
1007,1131,0.0,2067.0,1065.0,0.0,1.0,0.0,Sun Jan 16 02:58:13 +0000 2011,58396256.0,"Houston, TX",floho♋,94445.0,i hate black,black,_fsjb,Sun Sep 24 16:06:12 +0000 2017,@callmepresto I'm just glad that I never wanted to be anything else but black Caz they hate us but still wanna be us  🤷🏾‍♀️,238807782.0,-0.6187,,0.18,0.749,0.071
1008,1132,0.0,35.0,323.0,2.0,0.0,0.0,Fri Oct 09 14:43:35 +0000 2009,,"New Jersey, USA",William Brownstein,99134.0,i hate black,black,ILikeOldThings,Sun Sep 24 16:05:20 +0000 2017,"I stand for my country.
I stand behind #DonaldTrump.
I don't stand behind black people that hate our country. #USA🇺🇸 https://t.co/t0IYVc9z3F",81123839.0,-0.5719,,0.179,0.821,0.0
1009,1133,0.0,165.0,119.0,0.0,2.0,0.0,Fri Aug 24 04:22:21 +0000 2012,777390085.0,"canton, oh.",TK-421,6554.0,i hate black,black,Bazooka_Bob,Sun Sep 24 16:03:32 +0000 2017,"@sandy_jarrell @justinjm1 No equation of the two, both are wrong in their isolated areas. I hate nazis as well.Bein… https://t.co/E3ZESeAPJl",777390085.0,-0.8834,,0.43,0.57,0.0
1010,1134,0.0,983.0,1879.0,0.0,0.0,0.0,Thu Dec 22 06:49:28 +0000 2011,,"Fresno, CA",John Hill,2026.0,i hate black,black,hill4085,Sun Sep 24 15:54:28 +0000 2017,"I really hate the ""B"" word...in the Black Community it was a fighting word.. https://t.co/Q6M2FPEamd",443482053.0,-0.7574,,0.371,0.629,0.0
1011,1135,1.0,4331.0,3183.0,0.0,1.0,1.0,Sat May 08 17:06:53 +0000 2010,7.020192339248005e+17,United States,Brian Patrick Walsh,7715.0,i hate black,black,SgtWalshB,Sun Sep 24 15:51:42 +0000 2017,"@Waycooljr62 I 100% condemn Nazi’s, Communists, white supremacists, black supremacists, BLM, MS-13, Antifa and any… https://t.co/wVZhbG1AKS",141653603.0,-0.6808,,0.355,0.645,0.0
1012,1136,0.0,56.0,70.0,0.0,2.0,0.0,Wed Apr 13 12:59:26 +0000 2011,93692734.0,New York USA,LindaBonsignore,5623.0,i hate black,black,Gleam123,Sun Sep 24 15:50:21 +0000 2017,"@d1Vinman @johnlegend I understand standing up for yourself, I don't understand black ppl expressing hate and you say it's ok",281520927.0,-0.3612,,0.169,0.731,0.1
